Title, Artist, Url
"La vie est belle", "Diggy Dex", "https://youtu.be/DLTq19bhO28"
"Vandaag ben ik gaan lopen", "Acda en De Munnik", "https://youtu.be/MO3AA9pEN9o"
"Hij is van mij", "Bizzey, Maan, Tabitha Foen", "https://youtu.be/EYhLEHE1vfQ"
"Ik voel me zo verdomd alleen", "Danny De Munk", "https://youtu.be/G-JcK8MbWFw"
"Per spoor", "Guus Meeuwis", "https://youtu.be/lSxh-UK7Ays"
"Liefs uit Londen", "Bløf", "https://youtu.be/aM5JU0juOSs"


#- Een eigen huis - René Froger
#- Jij bent zo - Jeroen Van Der Boom
#- Orenmens - De Kift
#- Een nieuwe dag - Nick & Simon (tekstowo) 
#- Blijf bij mij (Dit zijn voor mij de allermooiste uren)" (2007) - André Hazes and Gerard Joling 
#- Nooit meer een morgen van Marco Borsato
#- PA OLVIDARTE Emma Heesters & Rolf Sanchez
#- Ze Huilt Maar Ze Lacht "Maan" -  
#- Laat me alleen", "Rita Hovink", ""
#- De mallemolen van het leven", "Heddy Lester", ""
#- Mijn hoofd weer op je schouder", "Willeke Alberti", "https://youtu.be/eYk4bR1KWlY"
#- Ademnood", "Linda, Roos & Jessica", ""
#- Ik Verscheurde Je Foto", "Koos Alberts", ""
#- Ik doe wat ik doe", "Astrid Nijgh", "" 
#- Hoe het danst, Marco Borsato, Armin van Buuren & Davina Michelle 

